empresa,año,trimestre,archivo,escala_detectada,efectivo,activo_corriente,activo_total,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio_total,ganancias_retenidas,inventarios,deuda_cp,deuda_lp,ingresos,utilidad_neta,utilidad_operativa,gastos_financieros,impuesto_renta,depreciacion_amortizacion
CELSIA,2025,4,CIERRE 2025.xbrl,0.001,284327.265,2288230.5470000003,14201545.075000001,3026190.668,6010407.958000001,9036598.626,5164946.449,-150057.75,146148.265,1084895.364,3926018.001,6058264.592,206406.16700000002,1172503.028,-679429.486,-155430.784,11012.946
CELSIA,2026,1,Q1 2026.xbrl,0.001,416352.83400000003,2439645.802,14209432.42,2735010.443,6634043.653,9369054.096,4840378.324,-131202.871,138292.683,771038.3910000001,4525871.624,1449722.3190000001,26649.804,249028.643,-155487.024,-33336.08806200004,12992.816
CELSIA,2026,2,Q2 2026.xbrl,0.001,300842.395,3139489.929,14925227.252,3709431.847,6386283.765000001,10095715.612,4829511.64,-127748.811,133449.529,1022078.4130000001,4187624.7800000003,2977296.8710000003,70351.975,515886.255,-328960.036,-80061.102,26269.719
ENEL,2019,1,Q1 2019.xbrl,0.001,408217.99700000003,710398.68,8857695.347000001,1664366.734,3383382.1750000003,5047748.909,3809946.438,2189891.063,54285.776,537974.89,3051500.6010000003,955829.362,291180.858,495737.331,-67526.471,-140821.819,2992.728
ENEL,2019,2,Q2 2019.xbrl,0.001,317538.17100000003,656365.25,8812664.283,1553795.644,3121163.24,4674958.884000001,4137705.399,2188327.531,71753.622,1088509.281,2794715.7060000002,1932017.041,620503.31,1049182.376,-143110.948,-295338.961,
ENEL,2019,3,Q3 2019.xbrl,0.001,,,,,,,,,,,,,,,,,
ENEL,2019,4,CIERRE 2019.xbrl,0.001,287544.909,829340.633,9120233.042,1284210.933,3092760.876,4376971.809,4743261.233,2182234.37,82219.623,648976.1410000001,2681981.3680000002,4069676.348,1232152.218,2089240.2210000001,-285804.86,-591387.449,
ENEL,2020,1,Q1 2020.xbrl,0.001,640056.545,995509.941,9268463.139,2651847.065,2381986.874,5033833.939,4234629.2,2552127.795,67978.326,2017934.212,1946095.455,1067507.981,362298.44,588774.933,-56096.693,-168430.64800000002,5159.537
ENEL,2020,2,Q2 2020.xbrl,0.001,308699.368,591086.33,8832223.07,1844042.906,2393905.123,4237948.029,4594275.041,2554850.73,75917.779,1565529.815,1946159.399,2136607.32,719221.355,1151437.4440000001,-119634.174,-321511.33,
ENEL,2020,3,Q3 2020.xbrl,0.001,735230.6190000001,1109319.703,9356513.321,2188182.315,2331972.2800000003,4520154.595,4836358.726,2558134.694,82965.436,1771432.783,1856648.318,3223570.216,958021.067,1721123.269,-236662.719,-538931.502,
ENEL,2020,4,CIERRE 2020.xbrl,0.001,821190.708,1212618.098,9495090.57,1959938.585,2378927.641,4338866.226,5156224.3440000005,2583278.68,102199.837,1806053.8059999999,1856720.301,4247728.2530000005,1283908.535,2242113.319,-281485.444,-697727.218,
ENEL,2021,1,Q1 2021.xbrl,0.001,472763.07,906995.512,9160652.667,2392053.896,2380860.757,4772914.653,4387738.014,2711593.892,117607.926,505957.95,1856795.223,1013887.307,393800.686,582302.076,-32836.254,-156247.36000000002,4916.243
ENEL,2021,2,Q2 2021.xbrl,0.001,454144.255,866776.505,9097875.583,1887361.094,2389993.962,4277355.056,4820520.527,2711593.892,116126.311,863236.0930000001,1856872.136,2148435.315,818689.952,1236380.01,-77388.186,-342668.893,
ENEL,2021,3,Q3 2021.xbrl,0.001,383394.00200000004,852227.832,9084245.584,2282835.244,2167445.737,4450280.981,4633964.603,2096111.818,109955.57,1297586.297,1582698.691,3424608.987,1250187.1300000001,1976195.563,-129713.485,-599668.323,
ENEL,2021,4,CIERRE 2021.xbrl,0.001,213701.458,667858.311,9036678.938000001,1519710.397,2415069.971,3934780.3680000002,5101898.57,2096111.818,94157.639,1246389.916,1771817.266,4722685.057,1712321.388,2703006.822,-182299.775,-814374.147,
ENEL,2022,1,Q1 2022.xbrl,0.001,2020350.242,5559724.255,27469394.543,8563057.772,6203894.095,14766951.867,12702442.676,3137973.069,360874.662,3398595.248,4629658.609,1953518.671,583160.453,979690.5700000001,-93272.511,-312175.382,20673.135000000002
ENEL,2022,2,Q2 2022.xbrl,0.001,2067277.814,5989528.282000001,28364274.443,7478211.687,6865405.028,14343616.715,14020657.728,3137973.069,412097.425,3069221.491,5317712.456,5190182.262,1383573.366,2446068.651,-284588.341,-751770.481,
ENEL,2022,3,Q3 2022.xbrl,0.001,2265079.365,6115600.184,29256088.286000002,6552711.916,7258533.984,13811245.9,15444842.386,3137973.069,450058.702,2549071.319,5677009.322000001,9059065.486,2260424.169,3946336.704,-502716.88300000003,-1235939.304,
ENEL,2022,4,CIERRE 2022.xbrl,0.001,1215342.798,4725840.115,29663271.629,5430258.562,7919644.797,13349903.359000001,16313368.27,3137973.069,469017.806,2346359.353,5930600.508,12100256.34,2859963.898,5083658.28,-774195.278,-1540448.212,
ENEL,2023,1,Q1 2023.xbrl,0.001,2050304.092,5860836.148,30738252.632,8866337.027,7863012.835,16729349.862,14008902.77,3290302.981,535321.333,1476315.72,5832935.62,3772836.174,798297.461,1469406.831,-298279.466,-464007.955,67795.736
ENEL,2023,2,Q2 2023.xbrl,0.001,2298558.43,5375312.375,30138340.635,8272040.483,7983414.461,16255454.944,13882885.691,3290302.981,576388.873,2439429.481,6120098.733,7846293.064,1326580.5250000001,2936882.338,-910343.758,-927212.9400000001,
ENEL,2023,3,Q3 2023.xbrl,0.001,1203984.038,4821728.129,29840676.310000002,7665727.226,7533598.862,15199326.088,14641350.222000001,3290302.981,605588.187,3572608.9869999997,5766597.579,12286937.713,2274068.395,4697197.454,-1195078.031,-1498394.61,
ENEL,2023,4,CIERRE 2023.xbrl,0.001,1629477.082,5449940.129,29595884.494,6634037.4180000005,8995509.078,15629546.496000001,13966337.998,3290302.981,534984.31,2902532.197,7252382.536,16599096.186,1938215.2380000001,4901964.446,-1517114.22,-1779677.101,
ENEL,2024,1,Q1 2024.xbrl,0.001,1276575.643,5144469.745,29392515.412,6916323.073,9485988.586000001,16402311.659,12990203.753,3490059.147,525198.79,2154493.596,7777848.707,4087089.512,756269.078,1446914.78,-328963.822,-377031.636,269975.926
ENEL,2024,2,Q2 2024.xbrl,0.001,1159490.807,5126595.262,29936732.738,6585206.943,9292899.475,15878106.418,14058626.32,3490059.1580000003,518499.538,2054237.066,7528939.783,8265760.574,1474341.757,2772103.808,-636646.686,-723283.497,
ENEL,2024,3,Q3 2024.xbrl,0.001,1048100.747,4602865.229,29713800.233,6119589.409,8809488.749,14929078.158,14784722.075000001,3490059.1580000003,478044.067,1722147.567,7083411.067,12433801.592,2171557.827,4104420.237,-918251.908,-1069836.195,
ENEL,2024,4,CIERRE 2024.xbrl,0.001,1263347.284,4599497.424,30895545.304,5310187.141,10344365.722000001,15654552.863,15240992.441,3490059.1580000003,479094.168,2816557.565,8099894.923,16926709.713,2251936.168,4608406.297,-1208234.963,-1209678.799,
ENEL,2025,1,Q1 2025.xbrl,0.001,1488836.566,4781128.392,31087700.291,6903372.823,10294348.78,17197721.603,13889978.688000001,3715252.775,496911.985,2332238.98,8035100.677,4056981.7800000003,919262.835,1701190.311,-304796.429,-473219.9,279990.783
ENEL,2025,2,Q2 2025.xbrl,0.001,1302068.948,4587961.075,31258788.747,7100055.233,9812707.128,16912762.361,14346026.386,3715252.775,504734.922,2124486.713,7482482.072,7962087.478,1540887.563,3141315.453,-776278.3740000001,-827410.388,
ENEL,2025,3,Q3 2025.xbrl,0.001,1288225.4880000001,4192173.166,31243839.544,5875636.343,10326873.655,16202509.998,15041329.546,3715252.767,514600.987,1549934.743,7912831.294,12002724.056,2437470.365,4807607.673,-1100627.203,-1268061.866,
ENEL,2025,4,CIERRE 2025.xbrl,0.001,1150701.653,3881483.379,31590737.487,5026794.153,11041253.292,16068047.445,15522690.042,3715252.767,432278.342,1463321.6900000002,8580518.024,15897327.877,3030007.352,6045091.852,-1397758.696,-1622471.479,
ENEL,2026,1,Q1 2026.xbrl,0.001,1806725.574,4668630.504,32254626.358,5122168.932,10946475.892,16068644.824000001,16185981.534,6745260.119,463046.07800000004,1518989.0590000001,8453490.688000001,3809700.5100000002,820458.7540000001,1595200.609,-301988.368,-481123.782,295823.994
ENEL,2026,2,Q2 2026.xbrl,0.001,2007466.3930000002,4983516.454,32421999.825,7521574.069,10793455.787,18315029.856,14106969.969,4018253.502,472608.64900000003,1099466.4270000001,8275820.654,8253343.638,1773507.474,3412653.847,-660743.657,-997152.645,
EPM,2019,1,Q1 2019.xbrl,0.001,2139091.179,7557113.637,54112392.875,7670015.838,23971345.388,31641361.226,22471031.649,15480585.871000001,414402.294,3144346.058,11454281.81,4284392.369,681539.188,1164761.506,-326408.751,-354620.316,254969.439
EPM,2019,2,Q2 2019.xbrl,0.001,,,,,,,,,,,,,,,,,
EPM,2019,3,Q3 2019.xbrl,0.001,,,,,,,,,,,,13291041.899,1677538.832,3388490.5500000003,-1000954.099,-533932.191,856989.204
EPM,2019,4,CIERRE 2019.xbrl,0.001,1664150.609,7603831.21,54900148.798,7688840.716,23032348.365000002,30721189.081,24178959.717,14518224.491,391244.21400000004,3541229.252,7923160.117000001,18358038.151,2985182.257,,-1290282.011,-810199.224,1140099.479
EPM,2020,1,Q1 2020.xbrl,0.001,1484288.8360000001,8187963.972,57172882.534,8577701.788,25925272.326,34502974.114,,16067732.337000001,450471.597,2727950.301,9257945.673,4746386.593,-329852.52400000003,,-274294.527,-77651.591,297772.669
EPM,2020,2,Q2 2020.xbrl,0.001,1952157.112,8005962.126,57291866.566,8148888.854,25472718.976,33621607.83,23670258.736,16073456.238,457628.485,3409308.955,9137680.540000001,9150053.68,620708.581,,-562422.528,-254243.964,601098.096
EPM,2020,3,Q3 2020.xbrl,0.001,4019194.023,12073643.751,62782858.797,11065971.206,26862588.961,37928560.167,24854298.63,16062599.33,488248.711,6083732.428,7768278.365,13741464.027,1121562.2750000001,,-911029.1020000001,-438687.06200000003,937069.344
EPM,2020,4,CIERRE 2020.xbrl,0.001,3987044.199,12257538.752,63778787.181,9443947.926,27207645.636,36651593.562,27127193.619,16057923.382000001,477338.243,4597758.041828,20687483.501943998,19326610.726,3584538.0,4151740.00361663,-1267632.158,-499028.184,136888.382806
EPM,2021,1,Q1 2021.xbrl,0.001,3926707.93,12313504.950000001,64696704.989,10862466.986,27578680.429,38441147.415,26255557.574,18167038.2,495204.248,4419226.157,7589679.914,5547344.514,796074.1900000001,1447104.2448822602,-336317.772,-218187.892,35701.810457
EPM,2021,2,Q2 2021.xbrl,0.001,3182841.975,11954423.498,65303316.112,10470355.522,27613754.848,38084110.37,27219205.742000002,18166412.09,511597.60500000004,4502127.6110000005,6956865.877,11582666.82,1760467.298,2854211.20511302,-687090.416,-336362.441,72517.392097
EPM,2021,3,Q3 2021.xbrl,0.001,3714046.447,12436085.632000001,66535536.673,9152956.592,29299918.285,38452874.877000004,28082661.796,18166480.408,515567.963,3481416.776,7483851.582,18027285.093000002,2654658.736,4517355.3610000005,-1045570.207,-778825.79,109315.202454
EPM,2021,4,CIERRE 2021.xbrl,0.001,4019511.369,14576032.38,67776469.83,9720287.425,29305996.549000002,39026283.974,28750185.856,18125734.161000002,511363.846,3472771.95453,22644118.525358,24831646.953,3039782.933,5800700.17784612,-1430845.322,-1074626.754,147186.75733300002
EPM,2022,1,Q1 2022.xbrl,0.001,5516599.227,14017258.148,67974354.788,10959692.051,29505683.392,40465375.443,27508979.345,19228300.458,545323.013,3172694.196,7655068.402,7243557.307,1181722.23,1954230.13203502,-417102.382,-447100.982,147186.75733300002
EPM,2022,2,Q2 2022.xbrl,0.001,3409937.681,13730771.962,68979097.229,10646786.235,30069568.447,40716354.682000004,28262742.547000002,19228355.219,597332.001,3666513.81,8114649.689,14925620.639,2000789.98,3876395.64502688,-958837.1410000001,-788466.854,80175.49034900001
EPM,2022,3,Q3 2022.xbrl,0.001,3338382.867,14217541.474,71036864.176,11362752.525,30845397.681,42208150.206,28828713.97,19228210.0,685078.438,4166641.061,8214532.095,23266360.017,2813048.089,5860836.9631665,-1576967.817,-1232176.226,122632.94965000001
EPM,2022,4,CIERRE 2022.xbrl,0.001,4038679.643,14950654.02,75578355.371,12063156.59,32528329.400000002,44591485.99,30986869.381,19212331.213,714643.324,4227009.673735,25896191.125929,31728407.916,3845458.5530000003,7892901.657000001,-2284881.664,-1610791.037,166542.99796399998
EPM,2023,1,Q1 2023.xbrl,0.001,3370906.455,13920524.407,75144778.814,12724320.112,32159552.67,44883872.782,30260906.032,21601715.674,703674.747,3578457.8170000003,9423823.469,8932838.641,1494936.138,2427954.843529,-747346.219,-644198.042,43342.101728
EPM,2023,2,Q2 2023.xbrl,0.001,2104704.511,13098823.372,73660291.52,11533657.927000001,31170933.92,42704591.847,30955699.673,21595421.135,698199.138,3409259.477,8741219.626,18045907.024,2538831.896,4741536.350000001,-1554773.847,-1156495.1,85857.10489
EPM,2023,3,Q3 2023.xbrl,0.001,2889422.916,14031999.169,74666173.881,12523625.487,30854282.729000002,43377908.216,31288265.665,21595415.75,733341.853,3856645.723,9983902.818,27173762.066,3137668.3370000003,6403921.85596011,-2328557.732,-1262314.316,128645.41693
EPM,2023,4,CIERRE 2023.xbrl,0.001,3244471.737,15082303.192,77235863.293,14052303.949000001,31867226.854000002,45919530.803,31316332.490000002,21486693.791,760328.601,6248602.2678270005,23129694.48074,37139086.82,3249354.37,7758921.63028278,-3267081.6750000003,-1516152.26,206170.22212700002
EPM,2024,1,Q1 2024.xbrl,0.001,4852133.092,15498776.312,78368041.932,15529315.77,32004162.236,47533478.006000005,30834563.926,22580383.514000002,782961.661,5016086.633,10538161.073,9945009.146,1577661.368,2894258.46554683,-848596.514,-548345.1950000001,44033.42260400001
EPM,2024,2,Q2 2024.xbrl,0.001,3941198.835,15730856.734000001,80428394.436,13779648.203,34474370.323,48254018.526,32174375.91,22460712.535,849857.339,4795253.133,12159165.15,19747086.758,2669010.591,5410124.16520628,-2015766.129,-857714.2930000001,93604.382295
