empresa,año,trimestre,archivo,escala_detectada,efectivo,activo_corriente,activo_total,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio_total,ganancias_retenidas,inventarios,deuda_cp,deuda_lp,ingresos,utilidad_neta,utilidad_operativa,gastos_financieros,impuesto_renta,depreciacion_amortizacion
ISA,2022,4,CIERRE 2022.xbrl,0.001,5369349.875,13721970.168,78733851.758,5360053.521,43823426.458000004,49183479.979,29550371.779,3210906.697,197369.611,2080458.138,32089642.315,13356004.941,2202580.891,6760582.933,-2383358.117,-1005463.616,1006174.215
ISA,2023,1,Q1 2023.xbrl,0.001,6691898.598,14824397.469,80124329.939,7298478.788,44361270.602,51659749.39,28464580.549000002,3221890.741,195771.864,2370843.589,32475669.629,3911312.898,828098.7810000001,2118297.109,-688810.3740000001,-328470.22500000003,273820.115
ISA,2023,2,Q2 2023.xbrl,0.001,4449949.695,12309540.26,75370216.003,7238854.335,39904166.422,47143020.757,28227195.246,3221890.741,180128.84100000001,4093471.583,28508160.911000002,7458456.259000001,1522088.32,4108257.5640000002,-1232438.936,-551035.853,528825.72
ISA,2023,3,Q3 2023.xbrl,0.001,4568115.996,12702709.215,72758663.131,7338639.311,37957770.892,45296410.203,27462252.928,3221890.741,193843.396,4241385.389,27143334.597,10614773.729,2034445.996,5688864.562,-1808896.435,-861825.647,787205.264
ISA,2023,4,CIERRE 2023.xbrl,0.001,4071927.866,12407460.808,71217175.874,5307301.925,39543479.736,44850781.661,26366394.213,3221890.741,227631.146,2477275.894,28516340.119,14171459.071,2466452.557,7069602.261,-2423491.829,-1129171.71,1059713.172
ISA,2024,1,Q1 2024.xbrl,0.001,4911704.339,12846090.195,71388374.971,6165071.181,39917854.78,46082925.961,25305449.01,3230575.941,172392.853,1981022.724,29127826.237,3668339.506,634454.705,1793978.682,-531703.845,-279334.141,249452.182
ISA,2024,2,Q2 2024.xbrl,0.001,4668994.221,12887596.636,73480910.425,5635354.931,41260578.611,46895933.542,26584976.883,3230575.941,195744.434,2673395.14,30148148.310000002,7095486.689,1341999.093,3578752.1890000002,-1088662.428,-577168.219,52609.873
ISA,2024,3,Q3 2024.xbrl,0.001,4483589.154,13403454.13,76641269.637,5661257.937,42188893.569,47850151.506000005,28791118.131,3230575.941,173178.574,2897208.3540000003,30607514.527,10616544.856,2233170.003,6240518.766,-1647495.006,-1210757.716,78038.926
ISA,2024,4,CIERRE 2024.xbrl,0.001,5924486.853,13542092.433,76995347.157,5621342.525,43105998.492,48727341.017000005,28268006.14,3230575.941,177976.215,2491673.186,31813938.812,14934750.995000001,2807941.183,7870094.717,-2262263.883,-1386254.526,106697.18000000001
ISA,2025,1,Q1 2025.xbrl,0.001,4988762.155,14468124.226,78617479.92300001,6885727.499,43811955.179,50697682.678,27919797.245,3237241.285,188080.833,2815301.804,32344413.729000002,4011697.406,694598.252,1939125.279,-566927.704,-359558.56200000003,28140.752
ISA,2025,2,Q2 2025.xbrl,0.001,4024010.8370000003,12008916.981,77081781.892,4394169.738,43957389.730000004,48351559.468,28730222.424000002,3237241.285,199749.533,1613563.1500000001,32507892.372,7354487.533,1149516.926,3119248.582,-1175063.945,-514268.132,59270.732
ISA,2025,3,Q3 2025.xbrl,0.001,4597898.927,12788268.407,77487171.031,4705311.675,43783306.65,48488618.325,28998552.706,3237241.285,166487.08000000002,1644926.681,32437791.918,11395834.729,1849625.592,5160453.68,-1853837.111,-868208.2440000001,88387.624
ISA,2025,4,CIERRE 2025.xbrl,0.001,4466147.938,11720343.762,76130261.053,4591464.379,43231798.428,47823262.807000004,28306998.246,3237241.285,166004.971,1753653.649,32037263.84,15918005.563000001,2420317.832,6841990.225000001,-2513902.39,-1111140.146,118190.444
ISA,2026,1,Q1 2026.xbrl,0.001,3628266.751,11283695.943,76733409.702,6723909.096,42130546.928,48854456.024000004,27878953.678,3243311.378,165214.892,2913690.276,30831249.168,3860047.398,558452.032,1732644.3290000001,-695194.4940000001,-189212.443,29222.421000000002
ISA,2026,2,Q2 2026.xbrl,0.001,3724781.926,11462578.656,76070853.417,4261252.869,44172798.371,48434051.24,27636802.177,3243311.378,162615.475,1015471.158,33183576.658,8595281.282,1253268.942,3892569.2320000003,-1389848.291,-502471.673,46861.631
ISAGEN,2019,1,Q1 2019.xbrl,1e-06,172152.830293,720098.863228,19100590.637803,991484.324223,12049813.69719,13041298.021413,6059292.61639,1268261.351595,35181.547289999995,722685.310821,8372922.066327999,802955.265419,151941.980729,439728.606398,-232250.710344,-74128.272877,3240.6743589999996
ISAGEN,2019,2,Q2 2019.xbrl,1e-06,638536.00429,1130980.5934559999,19371339.238819,968039.9655109999,13140129.871623999,14108169.837135,5263169.401684,1268261.351595,34396.335417999995,1281198.725019,9433596.277945999,1542674.642236,269190.23125099996,856092.1299729999,-486976.341997,-132665.656981,3138.848185
ISAGEN,2019,3,Q3 2019.xbrl,1e-06,375731.382549,924999.6287809999,19119157.836266,715566.012735,13055187.697765,13770753.7105,5348404.125766,1268261.351595,34612.785335,724946.6541929999,9335918.662802,2303458.843916,350742.427471,1245766.7817199999,-777456.559903,-170880.557113,9531.448068
ISAGEN,2019,4,CIERRE 2019.xbrl,1e-06,135837.317303,726989.683016,18860181.553206,435574.225589,12934212.96944,13369787.195029,5490394.358177,1268261.351595,36777.461354,192426.52749399998,9370261.081061,3183401.284286,495208.41011999996,1665275.1513719999,-978949.3849569999,-208732.59965699998,12682.392722999999
ISAGEN,2020,1,Q1 2020.xbrl,1e-06,374791.907096,963128.9495999999,19043875.383858997,442429.441933,13001363.961670998,13443793.403603999,5600081.980254999,1268261.351595,35801.067323999996,198654.288255,9420275.751659,870648.980142,115110.986272,424413.74143299996,-225171.272226,-58310.340656,3233.3099359999997
ISAGEN,2020,2,Q2 2020.xbrl,1e-06,106029.46122299999,676832.561071,18708312.430413,499259.295855,12611661.805382999,13110921.101238,5597391.329175,1268261.351595,36415.13199,205882.040945,8989220.432804,1592385.8687109998,138711.73902399998,691625.607385,-441726.47071699996,-70311.51878299999,6418.011259999999
ISAGEN,2020,3,Q3 2020.xbrl,1e-06,342800.416689,982284.113359,19000317.061318,482271.43533999997,12776892.899848,13259164.335188,5741152.726129999,1268261.351595,35261.16914,214241.35903199998,9128586.440859,2348840.4480049997,276703.830204,1083916.9874139999,-638604.76967,-135360.559437,9319.088539
